"reference","reef.number","name","formation","system","series","interval","latitude","longitude","biota.main","country","collection.pbdb","remarks","authors","year","title","editors","paper","number","pages"
1,2335,"W Kopetdag, Turkmenia ","  ","Cretaceous ","Lower Cretaceous ","Barremian ",38,57.6667,"Corals ","Turkmenistan ","170614 ","Urgonian facies. Complex and large reef systems, perhaps of barrier type. reef cores, reef slope, inter-reef lagoons. Reefs mainly formed by corals and algae.","Prosorovsky, V.A. ",1990,"The Urgonian facies of Central Asia ","  ","Cretaceous Research ","11 ","253-260 "
2,2687,"NE Cantabrian Mts., Castilla y Leon ","Picos de Europa ","Carboniferous ","Upper Carboniferous ","Moscovian-Kasimovian ",43.0833,-4.5,"Algae ","Spain ","76626 ","Anthracoporella (dasycladacean alga) dominant. Spiculae as evidence for presence of sponges. Sphintozoans are also present in Lores Limestone","Minwegen, E., Herbig, H.-G. ",1999,"Algendominierte Moundfazies im Oberkarbon des nordöstlichen Kantabrischen Gebirges (Nordspanien) ","  ","Terra Nostra ","99/8 ","p. 53 "
2,2686,"Andara + Fuente De, Asturia ","Picos de Europa ","Carboniferous ","Upper Carboniferous ","Moscovian ",43.2083,-4.7083,"Algae ","Spain ","46492 ","Beresella (paleosiphono-cladal alga) in sparitic matrix dominant. Buildups several 10s of m thick together with phylloid algae, chaetetids, sphinctozoans and small rugose corals.","Minwegen, E., Herbig, H.-G. ",1999,"Algendominierte Moundfazies im Oberkarbon des nordöstlichen Kantabrischen Gebirges (Nordspanien) ","  ","Terra Nostra ","99/8 ","p. 53 "
3,3245,"Castelsec, Montagne Noire ","Roque Redonde ","Carboniferous ","Lower Carboniferous ","Brigantian ",43.5333,3.2,"Corals ","France ","34565 ","1.5 m thick coral-microbial patch reef overlain by coral limestones. Diversity values includes corals, microbes and encrusting algae (Praedonezella, Claracrusta, Roquesselsia)","Aretz, M. ",2002,"Rugose corals and associated carbonate microfossils from the Brigantian (Mississippian) of Catelsec (Montagne Noire, southern France) ","  ","Geobios ","35 ","187-200 "
5,2688,"Tende Hantu Mts., Mangkalihat, Borneo ","Tendehantu ","Neogene ","Miocene ","Early Miocene ",0.8667,118.8833,"Corals ","Indonesia ","170615 ","Atoll structure with low energy, slightly restricted platform interior structure, steep southern and eastern coral reef margins and a northwestern margin with a 'step-wise' appearance.","Suessli, P. ",1976,"The Tende Hantu Atoll - a lower Miocene carbonate buildup in Mangkalihat Peninsula, east Kalimantan ","  ","Proceedings of the Carbonate Seminar, Indonesian Petroleum Association Special Publication ","  ","121-122 "
6,9,"Grimming ","  ","Triassic ","Upper Triassic ","upper Norian ",47.5833,14.25,"Calcisponges ","Austria ","170644 ","No detailed descriptions available","Böhm, F. ",1986,"Der Grimming: Geschichte einer Karbonatplattform von der Obertrias bis zum Dogger (Nördliche Kalkalpen, Steiermark). - ","  ","Facies ","15 ","195-232 "
7,2693,"Teluk-Landas, Mangkalihat, Borneo ","  ","Neogene ","Miocene ","Early Miocene ",1.0667,118.9167,"Corals ","Indonesia ",""," ","Wilson, M. E. J., Chambers, J. L. C., Evans, M. J., Moss, S. J. & Nas, D. S. ",1999,"Cenozoic carbonates in Borneo: case studies from northeast Kalimantan ","  ","Journal of Asian Earth Sciences ","17 ","183-201 "
7,2691,"Gurung Pengabun, Borneo ","  ","Paleogene ","Oligocene ","lower Oligocene ",1,117.3333,"Corals ","Indonesia ","","Abundant reworked branching nd rounded massive corals inferred to have been derived from a nearby patch reef environment.","Wilson, M. E. J., Chambers, J. L. C., Evans, M. J., Moss, S. J. & Nas, D. S. ",1999,"Cenozoic carbonates in Borneo: case studies from northeast Kalimantan ","  ","Journal of Asian Earth Sciences ","17 ","183-201 "
7,2690,"Muarawahau, Borneo ","  ","Paleogene ","Eocene ","Middle Eocene ",1.35,116.8333,"Corals ","Indonesia ","","Coral pack/floatstones in a marly matrix. Ta 3. Branching corals, oysters, some larger benthic forams and miliolids. Low energy inner shelf setting.","Wilson, M. E. J., Chambers, J. L. C., Evans, M. J., Moss, S. J. & Nas, D. S. ",1999,"Cenozoic carbonates in Borneo: case studies from northeast Kalimantan ","  ","Journal of Asian Earth Sciences ","17 ","183-201 "
7,2694,"Teluk-Landas, Mangkalihat, Borneo ","  ","Neogene ","Miocene ","Middle Miocene ",1.0667,118.9167,"Corals ","Indonesia ",""," ","Wilson, M. E. J., Chambers, J. L. C., Evans, M. J., Moss, S. J. & Nas, D. S. ",1999,"Cenozoic carbonates in Borneo: case studies from northeast Kalimantan ","  ","Journal of Asian Earth Sciences ","17 ","183-201 "
7,2692,"Batuputih, Mangkalihat, Borneo ","  ","Neogene ","Oligocene-Miocene ","Oligocene-Miocene ",1.4,118.4833,"Corals ","Indonesia ","170615 ","Coral bafflestones, rudstones and framestones. Patch reefs on seaward side of platform. Reservoir potential most prominent in platoform interior (re.f 2819).","Wilson, M. E. J., Chambers, J. L. C., Evans, M. J., Moss, S. J. & Nas, D. S. ",1999,"Cenozoic carbonates in Borneo: case studies from northeast Kalimantan ","  ","Journal of Asian Earth Sciences ","17 ","183-201 "
7,2689,"Muarawahau, Borneo ","  ","Paleogene ","Oligocene ","lower Oligocene ",1.3333,116.8333,"Corals ","Indonesia ","","Coral and coralline algae bioclastic pack/rudstone to floatstone with abundant fragmented shallow marine bioclasts including recrystallized corals, coralline algae and Nummulites.","Wilson, M. E. J., Chambers, J. L. C., Evans, M. J., Moss, S. J. & Nas, D. S. ",1999,"Cenozoic carbonates in Borneo: case studies from northeast Kalimantan ","  ","Journal of Asian Earth Sciences ","17 ","183-201 "
8,2695,"Off Tarakan, Borneo ","  ","Neogene ","Pliocene ","Pliocene ",3.25,117.5833,"Corals ","Indonesia ","","Linear delta-front reefs. Framestones, floatstones, Corals prevailing, larger forams, coralline algae and Halimeda.","Netherwood, R., Wight, A. ",1992,"Structurally-controlled, linear reefs in a Pliocene Delta-front setting, Tarakan Basin, Northeast Kalimantan ","Siemers, C.T., Longman, M.W.Park, R.K., Kaldi, J.G. ","Carbonate rocks and reservoirs of Indonesia - Indonesian Petroleum Association Core Workshop Notes ","1 ","Chap 3 "
9,2191,"Meimeh, Delijan ","Nayband ","Triassic ","Upper Triassic ","Sevatian ",33.6167,51,"Calcisponges ","Iran ","37961 ","Inozoid, Sphinctozoid and sclerospongid sponges as main reef builders. Corals abundant, bored. Spongiostromata crusts locally abundant. Strong internal zonation. Hexactinellid sponges also present. 30 m thick patch reefs, up to 50 m in diameter, seperated by bedded sandy limestones and calcareous sandstone. Shales at base and ?surrounding. Marls with Heterastridium lobatum at the very base. Heterastridians also within reef. Was Norian/Rhaetian, now exclusively late Norian (Flügel, 2002 and PBDB)","Senowbari-Daryan, B. ",1996,"Upper Triassic reefs and reef communities of Iran. - ","Reitner, J., Neuweiler, F. & Gunkel, F. ","Global and Regional Controls on Biogenic Sedimentation. I. Reef Evolution. Göttinger Arb. Geol. Pal., Sonderb. ","2 ","299-304 "
9,2192,"Kuhbanan, Kerman ","Nayband ","Triassic ","Upper Triassic ","Sevatian ",30.4667,57.25,"Corals ","Iran ","37963 ","Biostromal buildups. No Heterastridium. Includes Bulbulu reef Was Norian/Rhaetian - late Norian according to PBDB","Senowbari-Daryan, B. ",1996,"Upper Triassic reefs and reef communities of Iran. - ","Reitner, J., Neuweiler, F. & Gunkel, F. ","Global and Regional Controls on Biogenic Sedimentation. I. Reef Evolution. Göttinger Arb. Geol. Pal., Sonderb. ","2 ","299-304 "
9,75,"Marawand, Delijan ","Nayband ","Triassic ","Upper Triassic ","Sevatian ",33.5667,51.4833,"Calcisponges ","Iran ","37960 ","Largest reef in Nayband Fm. 80 m thick, 800 m lateral extension. Was Norian/Rhaetian. Now considered to be upper Norian Abstract of ref. 1461: Some small-scaled Norian-Rhaetian reefs and reef mounds are imbedded within the shales, siltstones and siliciclastic-carbonate deposits of the Nayband Formation in central Iran. These deposits belong to the central Iranian plate as part of the Cimmerian Continent. Most of the biogenic rocks have a biostromal geometry, biohermal constructions are rare. Inozoid, sphinctozoid, and chaetetid sponges are, beside of corals and other reef builders, the most important reef organisms within these bioconstructions. In some reefs a variety of hexactinellid sponges also occur. The following inozoid sponges are described in this paper: Radiofibra norica n. sp., Permocorynella maxima n. sp., ? Sestrostomella robusta, Marawandia iranica, n. gen., n. sp. and Enaulofungia? triassica n. sp. The first four taxa are among the most abundant sponges within the Nayband Formation where it is exposed in several localities in central Iran. Enaulofungit? triassica, however, is not an abundant sponge there. These inozoid sponges have never been reported from the Triassic deposits of this region. Radiofibra, until now known only from the Upper Perrnian of Djebel Tebaga (Tunisia), is reported here for the first time from Triassic rocks. The stratigraphic as well as the paleogeographic distribution of all the genera are discussed.","Senowbari-Daryan, B. ",1996,"Upper Triassic reefs and reef communities of Iran. - ","Reitner, J., Neuweiler, F. & Gunkel, F. ","Global and Regional Controls on Biogenic Sedimentation. I. Reef Evolution. Göttinger Arb. Geol. Pal., Sonderb. ","2 ","299-304 "
10,3,"Shiraho, W-Pacific ","  ","Neogene ","Holocene ","Recent ",24.3333,124.25,"Corals ","Pacific ",""," ","Kayanne, H., Suzuki, A. & Saito, H. ",1995,"Diurnal changes in the partial pressure of carbon dioxide in coral reef water. - ","  ","Science, ","269 ","214-216 "
11,5,"Adnet, Salzburg ","  ","Triassic ","Upper Triassic ","upper Rhaetian ",47.7,13.1667,"Corals ","Austria ","22963 ","The Upper Rhaetian coral limestone of Adnet, southeast of Salzburg, Austria has been repeatedly referred to as one of the most spectacular examples of an ancient 'autochthonous' coral reef structure. The 'Tropfbruch' quarry is probably the best outcrop for interpreting the distributional patterns of biotic successions and communities of a late Triassic patch reef. Our study is based on the interpretation of a) outcrop photographs, b) reef maps resulting from quadrat transects, and c) the analysis of quantitative data describing the distribution and frequency of reef organisms and sediment. A new methodological approach (combination of reef mapping and photo-transects) is used to obtain quantitative field data which can be compared in greater detail with data from modern coral reefs investigated by corresponding quantitative surveys. Three unconformities and three well-defined 'reef growth stages' reflecting the vertical and lateral development of the reef structure were differentiated using transects: Stage 1, representing the reef growth optimum, is characterized by laterally differentiated coral reef knobs with corals in growth position. Criteria supporting this interpretation are the extraordinary size of the corals, their preservation in situ and the great thickness of this interval. The massive coral Pamiroseris grew under higher energy conditions at the rim of the reef knob, whereas branching Retiophyllia colonies preferred less agitated water in the center. Vertical changes are reflected by an increase in frequency of the dasycladacean alga Diplopora adnetensis and by the decreasing size of Retiophyllia. These sedimentological and biological criteria together with the unconformity above indicate a fall in the sea level as a major control mechanism. Stage 2, separated from stage 3 by an unconformity caused by partial subaerial exposure and karstification, is characterized by vertically stacked coral successions with diverse reef debris. Facies heterogeneity is reflected by differences in the diversity, taphonomy and packing density of reef-building organisms as well as by differences in sediment input from the platform. Water depths and accommodation space were lower, therefore minor sea level fluctuations had a stronger effect on the biotic composition. The high percentage of coral debris and corals reworked by storms and the increase in the input of platform sediment led to a reduction of reef growth. Stage 3, again separated at the base by an unconformity associated with karstification, is characterized by bioclastic sediments with isolated reefbuilders forming a level-bottom community. The distribution of different coral morphotypes suggests that sea level fluctuations were not the only controlling factor. Variations in the substrate were caused by differences in the input of platform sediment. The vertical changes in reef community structures correspond to a sequence of 'allogenic replacements', because the change from one community to another is the result of extrinsic environmental factors (short-term subaerial exposure of parts of the reef structure and renewed flooding). Our new data provide no support for the model of ecological reef successions to the Adnet reef. The three-step development seen in Adnet documents the response of low-diverse coral associations to variations caused by small-scale sea level changes, storm activity and sedimentation. The distribution of communities as well as the vertical development of the Adnet reef structure offer no general model of Alpine Upper Rhaetian reefs, because of the particular setting of the patch reef (platform reef surrounded by calcareous sands). Only the 'capping beds' of the Upper Rhaetian Reef Limestone of the Steinplatte exhibit criteria similar to Adnet (high coverage of spatially separated Retiophyllia A and Retiophyllia B communities, strong inpact of freshwater dissolution pointing to subaerial exposure and small-scale karstification). Potential modern analogues of features seen in the coral communities of Adnet are the internal structure of the Retiophyllia thickets, the key role of branching corals within the communities, the scattered distribution and low and even diversity of corals subsequent to breaks in settlement, segration patterns of corals indicating 'contact avoidance', toppling of large coral colonies by intensive boring, and decreasing coral coverage from deeper and sheltered settings to more shallower water depths.","Schäfer, P. ",1979,"Fazielle Entwicklung und palökologische Zonierung zweier obertriadischer Riffstrukturen in den Nördlichen Kalkalpen ('Oberrhät'-Riff-Kalke, Salzburg). - ","  ","Facies ","1 ","3-245 "
11,6,"Rötelwand ","  ","Triassic ","Upper Triassic ","Rhaetian ",47.7,13.1833,"Corals ","Austria ","36815 ","Additionally encrusting algae (solenoporaceans) and forams important. Hexcorals and spongiomorphs about equally important. Radiolarians in underlying mudstones suggest slope deposition to me. Plenty of siliclastic input.","Schäfer, P. ",1979,"Fazielle Entwicklung und palökologische Zonierung zweier obertriadischer Riffstrukturen in den Nördlichen Kalkalpen ('Oberrhät'-Riff-Kalke, Salzburg). - ","  ","Facies ","1 ","3-245 "
12,2698,"Cibolo Creek, Kendall Co., Texas ","Glen Rose ","Cretaceous ","Lower Cretaceous ","middle Albian ",29.8,-98.65,"Rudists ","United States ","84749 ","Main Caprinid reef trend at shelf edge. Coalcomana texana Whitney strongly prevailing. Some coralline and dasycladacean algae present. Common living position","Perkins, B.F. ",1974,"Palaeoecology of a rudist reef complex in the Comanche Cretaceous Glen Rose limestone of central Texas ","  ","Geoscience and Man ","8 ","131-173 "
12,2696,"Miller Creek, Blanco Co., Texas ","Glen Rose ","Cretaceous ","Lower Cretaceous ","middle Albian ",30.2,-98.3306,"Non-rudist bivalves ","United States ","","Nearshore oyster biostrome traced over 35 km2. Around 1 m thick. Clusters up to 1 m in diameter. Thick-bodied gastropods, mud-burrowing clams and serpulid worm tubes present.","Perkins, B.F. ",1974,"Palaeoecology of a rudist reef complex in the Comanche Cretaceous Glen Rose limestone of central Texas ","  ","Geoscience and Man ","8 ","131-173 "
12,2697,"Lake Austin, Travis Co., Texas ","Glen Rose ","Cretaceous ","Lower Cretaceous ","middle Albian ",30.3167,-97.9333,"Rudists ","United States ","","Monopleurid biostromes in several horizons within the lowe Glen Rose. Tabular and conical colonies. Three species of monopleurids. Few Ostrea are associated.","Perkins, B.F. ",1974,"Palaeoecology of a rudist reef complex in the Comanche Cretaceous Glen Rose limestone of central Texas ","  ","Geoscience and Man ","8 ","131-173 "
13,7,"Rio Blanco ","  ","Triassic ","Upper Triassic ","Rhaetian ",37.325,-3.4333,"Serpulids, worms, vermetids ","Spain ","67734 "," ","Braga, J.C., Lopez-Lopez, J.R. ",1989,"Serpulid bioconstructions at the Triassic-Liassic boundary in southern Spain. - ","  ","Facies ","21 ","1-10 "
14,8,"Anxian, Sichuan ","Hanwang ","Triassic ","Upper Triassic ","upper Carnian ",31.6167,104.4333,"Siliceous sponges ","China ","25405 ","Diverse siliceous sponges. Some encrusting serpulids. 100 x 60 m No microbial crusts. 10-40 % fossils (locally 70 %).","Wu, X. ",1989,"Carnian (Upper Triassic) sponge mounds of the northwestern Sichuan Basin, China: Stratigraphy, facies and paleoecology. - ","  ","Facies ","21 ","171-188 "
16,10,"Lime Peak, Yukon ","Aksala ","Triassic ","Upper Triassic ","Norian ",61.0611,-134.8736,"Calcisponges ","Canada ","38033 ","Stikinia terrane. Hankock member. Abstract of ref. 1404: An Upper Triassic reef complex, formed in the convergent margin of the Stikine Terrane, is well exposed at Lime Peak, in the southern Yokon. It consists of superimposed patch reefs and bedded inter-reef limestone and is surrounded by volcaniclastic rocks. The reefs are up to 150 m thick and are composed of variable proportions of sponge-coral framework and skeletal sediment. They are the first Tethyan-type sponge reefs recognized in North America. The inter-reef limestones include thick-bedded accumulations of locally derived organisms, and thin-bedded deposits of reef-derived debris. The Lime Peak fossils are a mixture of those with Tethyan affinities, North American endemics, and new forms, possibly reflecting the origin of Stikinia between the Tethys and cratonic North America.","Reid, R.P., Ginsburg, R.N. ",1986,"The role of framework in Upper Triassic patch reefs in the Yukon. - ","  ","Palaios ","1 ","590-600 "
17,11,"Sarmeika reef, Argolis ","Pantokrator ","Triassic ","Upper Triassic ","Norian ",37.6333,23.0833,"Calcisponges ","Greece ","24310 ","Ref 17 suggested a Carnian age Ref 247 Norian/Rhaetian Norian according to Flügel (2002). Calcisponges, sclerosponges, corals and solenoporaceans as main reef builders. Spongiostromata crusts important for stabilisation.","Matarangas, D., Marcopoulou-Diacantoni, A. & Vartis-Matarangas, M. ",1995,"Carnian reef facies from pantokrator limestones of Argolis Peninsula (NE Mavrovouni), Peloponnese. - ","  ","Spec.Publ. Geol. Soc. Greece ","4/1 ","218-225 "
18,12,"Feichtenstein ","  ","Triassic ","Upper Triassic ","upper Rhaetian ",47.7069,13.2972,"Corals ","Austria ","36801 "," ","Senowbari-Daryan, B. ",1980,"Fazielle und paläontologische Untersuchungen in oberrhätischen Riffen (Feichtenstein- und Gruberriff bei Hintersee, Salzburg, Nördliche Kalkalpen). - ","  ","Facies ","3 ","1-237 "
18,13,"Gruber ","  ","Triassic ","Upper Triassic ","upper Rhaetian ",47.6861,13.3039,"Corals ","Austria ","36807 "," ","Senowbari-Daryan, B. ",1980,"Fazielle und paläontologische Untersuchungen in oberrhätischen Riffen (Feichtenstein- und Gruberriff bei Hintersee, Salzburg, Nördliche Kalkalpen). - ","  ","Facies ","3 ","1-237 "
19,613,"Djurtjuli ","  ","Devonian ","Upper Devonian ","Frasnian ",55.45,54.3333,"  ","Russia ",""," ","Trokhova, A.A. ",1991,"Organogennye portojki verchnego devona-turne vostoka Volgo-Uralyskoj provincii (osobennosti stroeniya, rasprostraneniya i neftegasonosnosti). - ","Gromeka, V.I. & Menner, V.Vl. ","Rifogennyye zony i ikh neftegazonosnost': Sbornik nauchnykh trudov ","  ","4-25 "
19,1699,"Kyzyl-Kjuchevskij ","  ","Devonian ","Upper Devonian ","Famennian-Tournaisian ",55.3333,54.6667,"  ","Russia ",""," ","Trokhova, A.A. ",1991,"Organogennye portojki verchnego devona-turne vostoka Volgo-Uralyskoj provincii (osobennosti stroeniya, rasprostraneniya i neftegasonosnosti). - ","Gromeka, V.I. & Menner, V.Vl. ","Rifogennyye zony i ikh neftegazonosnost': Sbornik nauchnykh trudov ","  ","4-25 "
20,14,"Wombat Plateau, offshore Australia, Indian Ocean ","  ","Triassic ","Upper Triassic ","Rhaetian ",-16.8333,115.8333,"Corals ","Indian Ocean ","36912 "," ","Röhl, U., Dumont, T., von Rad, U., Martini, R. & Zaninetti, L. ",1991,"Upper Triassic Tethyan Carbonates off Northwest Australia (Wombat Plateau, ODP Leg 122). - ","  ","Facies ","25 ","211-252 "
