PHYLUM;CLASS;ORDER;GENUS;BASE_S;BASE_STG;TOP_S;TOP_STG;RANGE_BASE;RANGE_TOP;EXT_BASE;EXT_TOP;MOBILITY;PREDATOR
Mollusca;Bivalvia;Nuculoida;Acila;T;Ol-u?;R;*;26;0;26;0;1;0
Mollusca;Bivalvia;Nuculoida;Adrana;T;Eo-l;R;*;53;0;53;0;1;0
Mollusca;Bivalvia;Nuculoida;Afganodesma;O;Aren;;;477;477;477;477;1;0
Mollusca;Bivalvia;Nuculoida;Aloconcha;O;Llvi?;O;Llde?;469;462;469;462;1;0
Mollusca;Bivalvia;Nuculoida;Antactinodion;D;l;;;415;415;999;999;1;0
Mollusca;Bivalvia;Nuculoida;Arisaigia;S;Wenl-l;;;426;426;426;426;1;0
Mollusca;Bivalvia;Nuculoida;Australoneilo;K;Maes;T;Eo-u;67;36;67;36;1;0
Mollusca;Bivalvia;Nuculoida;Australoportlandia;T;Eo-u;;;36;36;36;36;1;0
Mollusca;Bivalvia;Nuculoida;Bicrenucula;S;Ldov;;;435;435;435;435;1;0
Mollusca;Bivalvia;Nuculoida;Bicrenula;D;Fras;;;378;378;378;378;1;0
Mollusca;Bivalvia;Nuculoida;Borissia;T;Mi?;;;22;22;999;999;1;0
Mollusca;Bivalvia;Nuculoida;Brevinucula;T;Mi;R;;22;0;999;0;1;0
Mollusca;Bivalvia;Nuculoida;Cadomia;O;Llvi-u;O;Llde-u;469;462;469;462;1;0
Mollusca;Bivalvia;Nuculoida;Caesariella;S;Wenl-u;S;Ludl-l;426;421;426;421;1;0
Mollusca;Bivalvia;Nuculoida;Calorhadia;T;Eo-l;T;Eo-u;53;36;53;36;1;0
Mollusca;Bivalvia;Nuculoida;Cardiolaria;O;Aren-u;S;Ludl;477;421;477;421;1;0
Mollusca;Bivalvia;Nuculoida;Clinopista;D;Gedi;P;Sakm;415;285;415;285;1;0
Mollusca;Bivalvia;Nuculoida;Cnestriella;K;Maes;;;67;67;67;67;1;0
Mollusca;Bivalvia;Nuculoida;Cnesterium;T;Dani;R;*;63;0;63;0;1;0
Mollusca;Bivalvia;Nuculoida;Concavodonta;O;Cara-u;O;Ashg-m;453;445;453;445;1;0
Mollusca;Bivalvia;Nuculoida;Costaledopsis;O;Ashg;;;446;446;446;446;1;0
Mollusca;Bivalvia;Nuculoida;Costatoleda;T;Ol;R;;31;0;999;0;1;0
Mollusca;Bivalvia;Nuculoida;Ctenodonta;O;Trem-l;O;Ashg-u;486;445;486;445;1;0
Mollusca;Bivalvia;Nuculoida;Ctenodontella;D;l;;;415;415;999;999;1;0
Mollusca;Bivalvia;Nuculoida;Dacryomya;Tr;l;J;Tith;249;145;999;145;1;0
Mollusca;Bivalvia;Nuculoida;Deceptrix;O;Llvi-l;D;Emsi-l;469;396;469;396;1;0
Mollusca;Bivalvia;Nuculoida;Deminucula;T;Mi;R;;22;0;999;0;1;0
Mollusca;Bivalvia;Nuculoida;Ditichia;D;l;;;415;415;999;999;1;0
Mollusca;Bivalvia;Nuculoida;Dysondonta;D;Emsi?;;;402;402;402;402;1;0
Mollusca;Bivalvia;Nuculoida;Economolopsis;C;Serp-l;;;325;325;325;325;1;0
Mollusca;Bivalvia;Nuculoida;Ekaterodonta;O;Aren;O;Llvi-u;477;469;477;469;1;0
Mollusca;Bivalvia;Nuculoida;Ekstadia;S;Wenl-u;S;Ludl-l;426;421;426;421;1;0
Mollusca;Bivalvia;Nuculoida;Eleganuculana;Tr;u;;;228;228;999;999;1;0
Mollusca;Bivalvia;Nuculoida;Ennucula;T;Dani;R;*;63;0;63;0;1;0
Mollusca;Bivalvia;Nuculoida;Eritropsis;O;m;;;470;470;999;999;1;0
Mollusca;Bivalvia;Nuculoida;Ezonuculana;K;Coni?;K;Maes;87;67;87;67;1;0
Mollusca;Bivalvia;Nuculoida;Fidera;O;Cara-m;;;453;453;453;453;1;0
Mollusca;Bivalvia;Nuculoida;Freja;S;Wenl;;;426;426;426;426;1;0
Mollusca;Bivalvia;Nuculoida;Gibbonucula;T;Eo-l;;;53;53;53;53;1;0
Mollusca;Bivalvia;Nuculoida;Glyptoleda;P;Guad-l;;;267;267;267;267;1;0
Mollusca;Bivalvia;Nuculoida;Habonucula;J;;;;999;999;999;999;1;0
Mollusca;Bivalvia;Nuculoida;Hataiyoldia;T;Mi;;;22;22;999;999;1;0
Mollusca;Bivalvia;Nuculoida;Hilgardia;T;Eo-l;T;Eo-m-u;53;43;53;43;1;0
Mollusca;Bivalvia;Nuculoida;Iheringinucula;T;Eo-u;T;Mi-l?;36;20.5;36;20.5;1;0
Mollusca;Bivalvia;Nuculoida;Inaequidens;O;m;O;Cara-m;470;453;999;453;1;0
Mollusca;Bivalvia;Nuculoida;Indoculana;J;Call-l;;;159;159;159;159;1;0
Mollusca;Bivalvia;Nuculoida;Johnmartinia;O;Llvi?;O;Llde?;469;462;469;462;1;0
Mollusca;Bivalvia;Nuculoida;Jupiteria;K;Albi?;R;*;106;0;106;0;1;0
Mollusca;Bivalvia;Nuculoida;Kalayoldia;T;Eo-u;R;*;36;0;36;0;1;0
Mollusca;Bivalvia;Nuculoida;Kasachia;D;m;;;392;392;999;999;1;0
Mollusca;Bivalvia;Nuculoida;Koenenia;D;l;D;Fame-u;415;363;999;363;1;0
Mollusca;Bivalvia;Nuculoida;Kufralaria;D;m;D;u;392;365;999;999;1;0
Mollusca;Bivalvia;Nuculoida;Lamellinucula;T;Than-l;R;*;57;0;57;0;1;0
Mollusca;Bivalvia;Nuculoida;Ledella;T;Eo-m-u;R;*;40;0;40;0;1;0
Mollusca;Bivalvia;Nuculoida;Ledina;T;Dani-l;T;Eo-u;63;36;63;36;1;0
Mollusca;Bivalvia;Nuculoida;Ledopsis;S;Ludl-u;D;l;421;397;421;999;1;0
Mollusca;Bivalvia;Nuculoida;Leiodysodonta;D;l;D;m;415;383;999;999;1;0
Mollusca;Bivalvia;Nuculoida;Leionucula;K;Haut-l;R;;129;0;129;0;1;0
Mollusca;Bivalvia;Nuculoida;Lembulus;T;Eo;R;;52;0;999;0;1;0
Mollusca;Bivalvia;Nuculoida;Lepteviella;Tr;m;;;242;242;999;999;1;0
Mollusca;Bivalvia;Nuculoida;Linucula;T;Ol-l;R;*;32;0;32;0;1;0
Mollusca;Bivalvia;Nuculoida;Lissanucula;T;Mi;;;22;22;999;999;1;0
Mollusca;Bivalvia;Nuculoida;Lithorhadia;T;Dani;T;Mi-m;63;14.8;63;14.8;1;0
Mollusca;Bivalvia;Nuculoida;Lophoconcha;O;;;;999;999;999;999;1;0
Mollusca;Bivalvia;Nuculoida;Malletia;K;Vala-l;R;*;134;0;134;0;1;0
Mollusca;Bivalvia;Nuculoida;Megayoldia;T;Ol;R;*;31;0;999;0;1;0
Mollusca;Bivalvia;Nuculoida;Menneroctenia;K;Maes;T;Mi-m;67;14.8;67;14.8;1;0
Mollusca;Bivalvia;Nuculoida;Mesoneilo;Tr;Nori;Tr;Rhae;210;202;210;202;1;0
Mollusca;Bivalvia;Nuculoida;Mesosaccella;J;Sine?;T;Than;194;57;194;57;1;0
Mollusca;Bivalvia;Nuculoida;Metapalaeoneilo;S;u;;;422;422;999;999;1;0
Mollusca;Bivalvia;Nuculoida;Myoplusia;O;Llvi-u;O;Cara-m;469;453;469;453;1;0
Mollusca;Bivalvia;Nuculoida;Neilo;K;Camp-l;R;*;77;0;77;0;1;0
Mollusca;Bivalvia;Nuculoida;Neiloides;K;Maes;;;67;67;67;67;1;0
Mollusca;Bivalvia;Nuculoida;Neilonella;K;Maes;R;;67;0;67;0;1;0
Mollusca;Bivalvia;Nuculoida;Notonucula;D;l;;;415;415;999;999;1;0
Mollusca;Bivalvia;Nuculoida;Nucula;K;Berr-l;R;*;140;0;140;0;1;0
Mollusca;Bivalvia;Nuculoida;Nuculana;Tr;Indu-l;R;*;250;0;250;0;1;0
Mollusca;Bivalvia;Nuculoida;Nuculavus;C;Vise-u;P;Leon-u;337;271;337;271;1;0
Mollusca;Bivalvia;Nuculoida;Nuculites;O;Cara-m;P;Djhu;453;257;453;257;1;0
Mollusca;Bivalvia;Nuculoida;Nuculodonta;S;Ldov-u;S;Wenl-u;430;425;430;425;1;0
Mollusca;Bivalvia;Nuculoida;Nuculoidea;S;Wenl-u;D;Fame-u;426;363;426;363;1;0
Mollusca;Bivalvia;Nuculoida;Nuculoma;J;Bajo-u;K;Berr-u;171;140;171;140;1;0
Mollusca;Bivalvia;Nuculoida;Nuculopsis;C;Tour-u;Tr;Indu-l;354;250;354;250;1;0
Mollusca;Bivalvia;Nuculoida;Nucundata;P;;;;999;999;999;999;1;0
Mollusca;Bivalvia;Nuculoida;Orthoyoldia;T;Eo-l;R;;53;0;53;0;1;0
Mollusca;Bivalvia;Nuculoida;Palaeoconcha;O;Cara-u;S;Ldov-u?;453;430;453;430;1;0
Mollusca;Bivalvia;Nuculoida;Palaeoneilo;O;Aren-u;J;Plie-u?;477;188;477;188;1;0
Mollusca;Bivalvia;Nuculoida;Palaeonucula;Tr;Ladi;J;Tith;236;145;236;145;1;0
Mollusca;Bivalvia;Nuculoida;Paleostraba;S;Wenl-u;;;426;426;426;426;1;0
Mollusca;Bivalvia;Nuculoida;Paleyoldia;C;Vise-u;P;Guad;337;263;337;263;1;0
Mollusca;Bivalvia;Nuculoida;Paulinea;O;Aren-l;;;477;477;477;477;1;0
Mollusca;Bivalvia;Nuculoida;Pectinucula;K;l;K;Maes-u;138;66;999;66;1;0
Mollusca;Bivalvia;Nuculoida;Pensarnia;O;Aren-l;;;477;477;477;477;1;0
Mollusca;Bivalvia;Nuculoida;Phaenodesmia;Tr;Anis;Tr;Nori;243;210;243;210;1;0
Mollusca;Bivalvia;Nuculoida;Phestia;D;Give;Tr;l;385;246;385;999;1;0
Mollusca;Bivalvia;Nuculoida;Phestioides;D;l;D;m;415;383;999;999;1;0
Mollusca;Bivalvia;Nuculoida;Pojetaia;Cm;Atda-l;Cm;lMid;519;507;519;507;1;0
Mollusca;Bivalvia;Nuculoida;Poroleda;K;Maes-u;R;;67;0;67;0;1;0
Mollusca;Bivalvia;Nuculoida;Portlandia;K;Sant;R;*;84;0;84;0;1;0
