"","Phylum","Latitude","Longitude","Entw.stad","N.c","N.t","Independent.study.ID","N","Stressor","Response.type","t..d.","T1.m","T2.m","Ph1.m","Ph2.m","O1.m","O1.sd","O2.m","O2.sd","units","S1.m","S2.m","Val1.m","Val2.m","ResponseTypeSimple","ResponseNegative","id","Genus","Family","Order","Class","SpeciesAcc","ClassFossil","yi","vi","T.mr","Ph.mr","O.mr","S.mr","Gensamcom","Famsamcom","Ordsamcom","Clasamcom","TPref.Min.10th","TPref.Max.90th","Tcontprox","Ttreatprox","motility","composition","life_habit","diet","buffered","Paper","Publiziert","MinEffect","MinVar","Rand"
"2","Arthropoda",22.35755,114.255831,"Larvae",6,6,2,NA,"pH","Metabolism",4,27.86,27.88,8.2,7.61,5.15,0.0244948974278318,5.14,0.0244948974278318,"mg L-1",33,NA,0.045,0.043,"Metabolism",TRUE,"ES.2","Balanus","Balanidae","Sessilia","Hexanauplia","Amphibalanus amphitrite","Cirripedia",0.175625970910944,0.3346185200691,0.0199999999999996,-0.589999999999999,-0.0100000000000007,NA,0.916666666666667,0.916666666666667,0.777777777777778,0,17.51,28.84,5.54293915595204,3.49772231979339,"stationary","low Mg calcite","epifaunal","suspension feeder",TRUE,"Campanati, C., Yip, S., Lane, A., & Thiyagarajan, V. (2015). Combined effects of low pH and low oxygen on the early-life stages of the barnacle Balanus amphitrite. ICES Journal of Marine Science, 73(3), 791-802.",2015,TRUE,TRUE,FALSE
"4","Arthropoda",22.35755,114.255831,"Juvenile",6,6,1,NA,"pH, O","Condition index",15,27.86,27.85,8.2,7.6,5.15,0.0244948974278318,3.43,0.0244948974278318,"mg L-1",33,NA,0.01995,0.01555,"Condition",FALSE,"ES.4","Balanus","Balanidae","Sessilia","Hexanauplia","Amphibalanus amphitrite","Cirripedia",-0.433437829653877,0.341161181340628,-0.00999999999999801,-0.6,-1.72,NA,0.916666666666667,0.916666666666667,0.777777777777778,0,17.51,28.84,5.54293915595197,3.45051527124377,"stationary","low Mg calcite","epifaunal","suspension feeder",TRUE,"Campanati, C., Yip, S., Lane, A., & Thiyagarajan, V. (2015). Combined effects of low pH and low oxygen on the early-life stages of the barnacle Balanus amphitrite. ICES Journal of Marine Science, 73(3), 791-802.",2015,FALSE,TRUE,FALSE
"9","Arthropoda",22.35755,114.255831,"Juvenile",6,6,3,NA,"O","Condition index",15,27.86,27.83,8.2,8.19,5.15,0.0244948974278318,3.38,0.146969384566991,"mg L-1",33,NA,0.1984,0.2054,"Condition",FALSE,"ES.9","Balanus","Balanidae","Sessilia","Hexanauplia","Amphibalanus amphitrite","Cirripedia",0.180122508007638,0.33468517157879,-0.0300000000000011,-0.00999999999999979,-1.77,NA,0.916666666666667,0.916666666666667,0.777777777777778,0,17.51,28.84,5.54293915595197,3.41904390554431,"stationary","low Mg calcite","epifaunal","suspension feeder",TRUE,"Campanati, C., Yip, S., Lane, A., & Thiyagarajan, V. (2015). Combined effects of low pH and low oxygen on the early-life stages of the barnacle Balanus amphitrite. ICES Journal of Marine Science, 73(3), 791-802.",2015,FALSE,TRUE,FALSE
"17","Chordata",-14.664432,145.475312,"Adult",7,7,3,7,"pH","Resting MO2",7,29,29,8.15,7.8,NA,NA,NA,NA,NA,NA,NA,289.1672,306.4288,"Metabolism",FALSE,"ES.17","Ostorhinchus","Apogonidae","Perciformes","Actinopterygii","Apogon doederleini","Actinopterygii",0.156202043627677,0.286585681372624,0,-0.350000000000001,NA,NA,0,0.636363636363636,0.928571428571429,0.891891891891892,21.15,27.27,8.89721544708976,6.83011879896195,"actively mobile","hydroxyapatite","nektonic","omnivore",TRUE,"Munday, P. L., Crawley, N. E., & Nilsson, G. E. (2009). Interacting effects of elevated temperature and ocean acidification on the aerobic performance of coral reef fishes. Marine Ecology Progress Series, 388, 235-242.",2009,FALSE,TRUE,FALSE
"20","Chordata",-14.664432,145.475312,"Adult",7,7,1,7,"T, pH","Maximum MO2",7,29,33,8.15,7.8,NA,NA,NA,NA,NA,NA,NA,888.4083,688.5813,"Metabolism",FALSE,"ES.20","Ostorhinchus","Apogonidae","Perciformes","Actinopterygii","Apogon doederleini","Actinopterygii",-0.803602642861229,0.30877775741477,4,-0.350000000000001,NA,NA,0,0.636363636363636,0.928571428571429,0.891891891891892,21.15,27.27,8.89721544708976,13.1243919388513,"actively mobile","hydroxyapatite","nektonic","omnivore",TRUE,"Munday, P. L., Crawley, N. E., & Nilsson, G. E. (2009). Interacting effects of elevated temperature and ocean acidification on the aerobic performance of coral reef fishes. Marine Ecology Progress Series, 388, 235-242.",2009,FALSE,TRUE,TRUE
"21","Chordata",-14.664432,145.475312,"Adult",7,7,2,NA,"T, pH","Maximum MO2",7,29,32,8.15,7.8,NA,NA,NA,NA,NA,NA,NA,888.4083,921.2803,"Metabolism",FALSE,"ES.21","Ostorhinchus","Apogonidae","Perciformes","Actinopterygii","Apogon doederleini","Actinopterygii",0.167705606091272,0.286718756082659,3,-0.350000000000001,NA,NA,0,0.636363636363636,0.928571428571429,0.891891891891892,21.15,27.27,8.89721544708976,11.550823653879,"actively mobile","hydroxyapatite","nektonic","omnivore",TRUE,"Munday, P. L., Crawley, N. E., & Nilsson, G. E. (2009). Interacting effects of elevated temperature and ocean acidification on the aerobic performance of coral reef fishes. Marine Ecology Progress Series, 388, 235-242.",2009,FALSE,TRUE,TRUE
"23","Chordata",-14.664432,145.475312,"Adult",7,7,4,NA,"T","Maximum MO2",7,29,33,8.15,8.15,NA,NA,NA,NA,NA,NA,NA,888.4083,863.3218,"Metabolism",FALSE,"ES.23","Ostorhinchus","Apogonidae","Perciformes","Actinopterygii","Apogon doederleini","Actinopterygii",-0.120692275869736,0.286234522337665,4,0,NA,NA,0,0.636363636363636,0.928571428571429,0.891891891891892,21.15,27.27,8.89721544708976,13.1243919388513,"actively mobile","hydroxyapatite","nektonic","omnivore",TRUE,"Munday, P. L., Crawley, N. E., & Nilsson, G. E. (2009). Interacting effects of elevated temperature and ocean acidification on the aerobic performance of coral reef fishes. Marine Ecology Progress Series, 388, 235-242.",2009,FALSE,TRUE,FALSE
"24","Chordata",-14.664432,145.475312,"Adult",7,7,5,7,"T","Maximum MO2",7,29,32,8.15,8.15,NA,NA,NA,NA,NA,NA,NA,888.4083,817.474,"Metabolism",FALSE,"ES.24","Ostorhinchus","Apogonidae","Perciformes","Actinopterygii","Apogon doederleini","Actinopterygii",-0.366132464568093,0.290501892200382,3,0,NA,NA,0,0.636363636363636,0.928571428571429,0.891891891891892,21.15,27.27,8.89721544708976,11.550823653879,"actively mobile","hydroxyapatite","nektonic","omnivore",TRUE,"Munday, P. L., Crawley, N. E., & Nilsson, G. E. (2009). Interacting effects of elevated temperature and ocean acidification on the aerobic performance of coral reef fishes. Marine Ecology Progress Series, 388, 235-242.",2009,FALSE,TRUE,TRUE
"40","Chordata",-14.664432,145.475312,"Adult",7,7,6,7,"T, pH","Maximum MO2",7,29,33,8.15,7.8,NA,NA,NA,NA,NA,NA,NA,1021.9355,714.1935,"Metabolism",FALSE,"ES.40","Ostorhinchus","Apogonidae","Perciformes","Actinopterygii","Ostorhinchus cyanosoma","Actinopterygii",-1.65407132075045,0.383426854790326,4,-0.350000000000001,NA,NA,0,0.636363636363636,0.928571428571429,0.891891891891892,24.5,29.03,7.13721544708976,11.3643919388513,"actively mobile","hydroxyapatite","nektonic","omnivore",TRUE,"Munday, P. L., Crawley, N. E., & Nilsson, G. E. (2009). Interacting effects of elevated temperature and ocean acidification on the aerobic performance of coral reef fishes. Marine Ecology Progress Series, 388, 235-242.",2009,FALSE,TRUE,TRUE
"41","Chordata",-14.664432,145.475312,"Adult",7,7,7,NA,"T, pH","Maximum MO2",7,29,32,8.15,7.8,NA,NA,NA,NA,NA,NA,NA,1021.9355,881.6129,"Metabolism",FALSE,"ES.41","Ostorhinchus","Apogonidae","Perciformes","Actinopterygii","Ostorhinchus cyanosoma","Actinopterygii",-0.772293238349188,0.307015601642853,3,-0.350000000000001,NA,NA,0,0.636363636363636,0.928571428571429,0.891891891891892,24.5,29.03,7.13721544708976,9.79082365387898,"actively mobile","hydroxyapatite","nektonic","omnivore",TRUE,"Munday, P. L., Crawley, N. E., & Nilsson, G. E. (2009). Interacting effects of elevated temperature and ocean acidification on the aerobic performance of coral reef fishes. Marine Ecology Progress Series, 388, 235-242.",2009,FALSE,TRUE,TRUE
